Date(yyyy-mm-dd),City,Country,LonCenter,LatCenter,BoundingCoordinates,Median,Q1,Q3,Mean,Baseline_Median,Baseline_Q1,Baseline_Q3,Baseline_Mean,NumGoodSamples,NumTotalSamples
01/01/2015,Lahore,Pakistan,74.3436,31.5497,[73.8436 31.0497 74.8436 32.0497],6.121,3.062,8.94,6.787,7.324,4.833,10.036,8.136,122,542
02/01/2015,Lahore,Pakistan,74.3436,31.5497,[73.8436 31.0497 74.8436 32.0497],4.298,2.842,9.321,6.616,7.401,5.026,10.237,8.257,107,551
03/01/2015,Lahore,Pakistan,74.3436,31.5497,[73.8436 31.0497 74.8436 32.0497],3.703,2.666,8.669,6.193,7.384,5.022,10.175,8.297,91,545
04/01/2015,Lahore,Pakistan,74.3436,31.5497,[73.8436 31.0497 74.8436 32.0497],3.703,2.638,8.327,6.094,7.599,5.011,10.357,8.384,95,552
05/01/2015,Lahore,Pakistan,74.3436,31.5497,[73.8436 31.0497 74.8436 32.0497],3.388,2.617,7.492,5.665,7.38,5.357,10.401,8.398,86,553
06/01/2015,Lahore,Pakistan,74.3436,31.5497,[73.8436 31.0497 74.8436 32.0497],3.388,2.617,7.492,5.665,7.261,4.769,10.154,8.086,86,541
07/01/2015,Lahore,Pakistan,74.3436,31.5497,[73.8436 31.0497 74.8436 32.0497],3.388,2.617,7.492,5.703,7.253,4.756,10.29,8.099,83,549
08/01/2015,Lahore,Pakistan,74.3436,31.5497,[73.8436 31.0497 74.8436 32.0497],4.879,3.183,7.141,5.575,6.941,4.475,9.452,7.599,113,537
09/01/2015,Lahore,Pakistan,74.3436,31.5497,[73.8436 31.0497 74.8436 32.0497],5.804,4.295,7.428,6.742,7.041,4.668,9.425,7.721,87,543
10/01/2015,Lahore,Pakistan,74.3436,31.5497,[73.8436 31.0497 74.8436 32.0497],5.572,4.172,7.141,5.547,6.62,4.519,9.285,7.425,54,501
11/01/2015,Lahore,Pakistan,74.3436,31.5497,[73.8436 31.0497 74.8436 32.0497],5.804,4.295,7.263,6.209,6.698,4.575,9.152,7.519,86,520
12/01/2015,Lahore,Pakistan,74.3436,31.5497,[73.8436 31.0497 74.8436 32.0497],5.804,4.295,7.263,6.171,7.202,4.938,9.571,7.89,73,513
13/01/2015,Lahore,Pakistan,74.3436,31.5497,[73.8436 31.0497 74.8436 32.0497],5.864,4.295,7.414,6.44,7.028,4.936,9.352,7.806,82,508
14/01/2015,Lahore,Pakistan,74.3436,31.5497,[73.8436 31.0497 74.8436 32.0497],5.864,4.295,7.414,6.44,7.068,5.028,9.496,7.857,82,517
15/01/2015,Lahore,Pakistan,74.3436,31.5497,[73.8436 31.0497 74.8436 32.0497],5.804,4.172,7.263,6.29,7.212,5.023,9.846,7.894,87,498
16/01/2015,Lahore,Pakistan,74.3436,31.5497,[73.8436 31.0497 74.8436 32.0497],5.804,4.172,7.263,6.29,7.134,4.927,9.746,7.906,87,510
17/01/2015,Lahore,Pakistan,74.3436,31.5497,[73.8436 31.0497 74.8436 32.0497],6.052,4.295,7.492,6.856,7.075,5.007,9.518,7.889,96,496
18/01/2015,Lahore,Pakistan,74.3436,31.5497,[73.8436 31.0497 74.8436 32.0497],5.983,4.295,7.428,6.891,6.639,4.898,8.815,7.617,89,511
19/01/2015,Lahore,Pakistan,74.3436,31.5497,[73.8436 31.0497 74.8436 32.0497],6.052,4.724,7.586,6.982,6.495,4.837,8.551,7.347,85,506
20/01/2015,Lahore,Pakistan,74.3436,31.5497,[73.8436 31.0497 74.8436 32.0497],6.052,4.295,7.447,6.927,6.358,4.623,8.047,6.943,92,512
21/01/2015,Lahore,Pakistan,74.3436,31.5497,[73.8436 31.0497 74.8436 32.0497],6.052,4.295,7.447,6.927,6.44,4.763,8.323,7.209,92,516
22/01/2015,Lahore,Pakistan,74.3436,31.5497,[73.8436 31.0497 74.8436 32.0497],6.253,4.78,9.184,7.569,6.515,4.892,8.615,7.448,117,505
23/01/2015,Lahore,Pakistan,74.3436,31.5497,[73.8436 31.0497 74.8436 32.0497],8.674,5.678,12.337,9.292,6.732,4.827,8.901,7.473,87,512
24/01/2015,Lahore,Pakistan,74.3436,31.5497,[73.8436 31.0497 74.8436 32.0497],6.669,4.724,9.184,7.578,6.484,4.481,8.817,7.318,118,498
25/01/2015,Lahore,Pakistan,74.3436,31.5497,[73.8436 31.0497 74.8436 32.0497],6.669,4.724,9.184,7.578,6.106,4.167,8.733,7.137,118,547
26/01/2015,Lahore,Pakistan,74.3436,31.5497,[73.8436 31.0497 74.8436 32.0497],6.253,4.401,8.199,7.329,5.999,4.087,8.481,7.059,86,547
27/01/2015,Lahore,Pakistan,74.3436,31.5497,[73.8436 31.0497 74.8436 32.0497],6.079,4.354,8.199,7.12,5.742,3.987,7.892,6.612,102,566
28/01/2015,Lahore,Pakistan,74.3436,31.5497,[73.8436 31.0497 74.8436 32.0497],5.888,4.354,8.029,6.964,5.595,4.006,8.092,6.569,93,556
29/01/2015,Lahore,Pakistan,74.3436,31.5497,[73.8436 31.0497 74.8436 32.0497],5.888,4.155,8.029,6.827,5.352,3.892,7.244,6.281,121,551
30/01/2015,Lahore,Pakistan,74.3436,31.5497,[73.8436 31.0497 74.8436 32.0497],6.236,4.354,8.029,6.953,5.453,4.08,7.316,6.412,116,558
31/01/2015,Lahore,Pakistan,74.3436,31.5497,[73.8436 31.0497 74.8436 32.0497],6.669,4.354,8.411,7.35,5.506,4.032,7.307,6.305,125,537
01/02/2015,Lahore,Pakistan,74.3436,31.5497,[73.8436 31.0497 74.8436 32.0497],5.888,3.84,8.029,6.996,5.53,3.918,7.528,6.475,116,551
02/02/2015,Lahore,Pakistan,74.3436,31.5497,[73.8436 31.0497 74.8436 32.0497],5.804,4.12,7.611,6.516,5.418,3.857,7.41,6.339,145,538
03/02/2015,Lahore,Pakistan,74.3436,31.5497,[73.8436 31.0497 74.8436 32.0497],5.804,4.12,7.611,6.516,5.347,3.731,7.29,6.319,145,552
04/02/2015,Lahore,Pakistan,74.3436,31.5497,[73.8436 31.0497 74.8436 32.0497],6.302,4.354,8.156,7.014,5.683,3.941,7.572,6.568,156,547
05/02/2015,Lahore,Pakistan,74.3436,31.5497,[73.8436 31.0497 74.8436 32.0497],6.669,4.471,8.2,7.138,5.668,4.025,7.672,6.469,186,549
06/02/2015,Lahore,Pakistan,74.3436,31.5497,[73.8436 31.0497 74.8436 32.0497],6.302,4.354,8.029,6.732,5.535,3.953,7.403,6.258,161,552
07/02/2015,Lahore,Pakistan,74.3436,31.5497,[73.8436 31.0497 74.8436 32.0497],6.628,4.538,8.156,6.934,5.61,3.972,7.561,6.3,188,542
08/02/2015,Lahore,Pakistan,74.3436,31.5497,[73.8436 31.0497 74.8436 32.0497],7.002,4.885,9.47,7.479,5.68,4.025,7.964,6.457,157,549
09/02/2015,Lahore,Pakistan,74.3436,31.5497,[73.8436 31.0497 74.8436 32.0497],6.55,3.897,8.56,7.007,5.839,3.877,7.897,6.414,165,534
10/02/2015,Lahore,Pakistan,74.3436,31.5497,[73.8436 31.0497 74.8436 32.0497],6.55,3.897,8.56,7.007,5.823,3.994,7.87,6.461,165,538
11/02/2015,Lahore,Pakistan,74.3436,31.5497,[73.8436 31.0497 74.8436 32.0497],6.758,4.351,8.727,7.143,5.85,4.145,8.012,6.605,149,497
12/02/2015,Lahore,Pakistan,74.3436,31.5497,[73.8436 31.0497 74.8436 32.0497],6.776,4.433,8.791,7.163,5.768,4.038,7.917,6.538,156,519
13/02/2015,Lahore,Pakistan,74.3436,31.5497,[73.8436 31.0497 74.8436 32.0497],6.821,4.549,9.143,7.311,5.923,4.224,8.217,6.792,128,512
14/02/2015,Lahore,Pakistan,74.3436,31.5497,[73.8436 31.0497 74.8436 32.0497],6.302,3.851,8.39,6.831,5.743,4.064,7.71,6.482,155,508
15/02/2015,Lahore,Pakistan,74.3436,31.5497,[73.8436 31.0497 74.8436 32.0497],5.946,3.851,8.156,6.469,5.628,3.78,7.712,6.326,146,519
16/02/2015,Lahore,Pakistan,74.3436,31.5497,[73.8436 31.0497 74.8436 32.0497],6.302,3.897,8.358,6.666,5.564,3.672,7.424,6.065,153,500
17/02/2015,Lahore,Pakistan,74.3436,31.5497,[73.8436 31.0497 74.8436 32.0497],6.842,3.851,10.136,7.268,5.574,3.644,7.549,6.085,124,513
18/02/2015,Lahore,Pakistan,74.3436,31.5497,[73.8436 31.0497 74.8436 32.0497],5.743,3.583,8.791,6.579,5.463,3.646,7.512,6.041,144,502
19/02/2015,Lahore,Pakistan,74.3436,31.5497,[73.8436 31.0497 74.8436 32.0497],5.072,3.58,7.94,5.864,5.272,3.747,7.216,5.858,126,516
20/02/2015,Lahore,Pakistan,74.3436,31.5497,[73.8436 31.0497 74.8436 32.0497],5.211,3.58,8.051,6.366,5.257,3.788,7.305,5.935,125,511
21/02/2015,Lahore,Pakistan,74.3436,31.5497,[73.8436 31.0497 74.8436 32.0497],5.388,3.58,8.051,6.356,5.156,3.762,7.1,5.826,141,513
22/02/2015,Lahore,Pakistan,74.3436,31.5497,[73.8436 31.0497 74.8436 32.0497],5.009,3.413,6.882,6,5.126,3.751,6.896,5.758,114,515
23/02/2015,Lahore,Pakistan,74.3436,31.5497,[73.8436 31.0497 74.8436 32.0497],5.009,3.413,6.882,6,4.971,3.635,6.438,5.474,114,504
24/02/2015,Lahore,Pakistan,74.3436,31.5497,[73.8436 31.0497 74.8436 32.0497],5.541,3.583,8.051,6.442,4.974,3.618,6.543,5.527,106,512
25/02/2015,Lahore,Pakistan,74.3436,31.5497,[73.8436 31.0497 74.8436 32.0497],4.21,2.895,6.03,5.444,4.528,3.161,6.119,5.132,130,501
26/02/2015,Lahore,Pakistan,74.3436,31.5497,[73.8436 31.0497 74.8436 32.0497],4.21,2.895,6.03,5.444,4.564,3.256,6.087,5.148,130,549
27/02/2015,Lahore,Pakistan,74.3436,31.5497,[73.8436 31.0497 74.8436 32.0497],3.658,2.659,5.687,4.766,4.308,3.122,6.012,4.947,161,551
28/02/2015,Lahore,Pakistan,74.3436,31.5497,[73.8436 31.0497 74.8436 32.0497],3.658,2.659,5.687,4.766,4.11,2.967,5.823,4.695,161,571
01/03/2015,Lahore,Pakistan,74.3436,31.5497,[73.8436 31.0497 74.8436 32.0497],3.791,2.701,5.743,4.923,4.044,2.89,5.761,4.652,134,561
02/03/2015,Lahore,Pakistan,74.3436,31.5497,[73.8436 31.0497 74.8436 32.0497],3.859,2.757,5.629,4.876,4.141,3.013,5.749,4.714,159,555
03/03/2015,Lahore,Pakistan,74.3436,31.5497,[73.8436 31.0497 74.8436 32.0497],3.791,2.713,5.101,4.668,4.083,2.901,5.634,4.625,152,564
04/03/2015,Lahore,Pakistan,74.3436,31.5497,[73.8436 31.0497 74.8436 32.0497],3.658,2.701,5.126,4.605,3.972,2.888,5.458,4.544,169,543
